hour,DR-1
h2062,1
h2063,1
h2064,1
h2065,1
h2066,1
h2067,1
h2068,1
h2069,1
h2070,1
h2071,1
h2072,1
h2073,1
h2074,1
h2075,1
h2076,1
h2077,1
h2078,1
h2079,1
h2080,1
h2081,1
h2082,1
h2083,1
h2084,1
h2085,1
h2086,1
h2087,1
h2088,1
h2089,1
h2090,1
h2091,1
h2092,1
h2093,1
h2094,1
h2095,1
h2096,1
h2097,1
h2098,1
h2099,1
h2100,1
h2101,1
h2102,1
h2103,1
h2104,1
h2105,1
h2106,1
h2107,1
h2108,1
h2109,1
h2110,1
h2111,1
h2112,1
h2113,1
h2114,1
h2115,1
h2116,1
h2117,1
h2118,1
h2119,1
h2120,1
h2121,1
h2122,1
h2123,1
h2124,1
h2125,1
h2126,1
h2127,1
h2128,1
h2129,1
h2130,1
h2131,1
h2132,1
h2133,1
h2134,1
h2135,1
h2136,1
h2137,1
h2138,1
h2139,1
h2140,1
h2141,1
h2142,1
h2143,1
h2144,1
h2145,1
h2146,1
h2147,1
h2148,1
h2149,1
h2150,1
h2151,1
h2152,1
h2153,1
h2154,1
h2155,1
h2156,1
h2157,1
h2158,1
h2159,1
h2160,1
h2161,1
h2162,1
h2163,1
h2164,1
h2165,1
h2166,1
h2167,1
h2168,1
h2169,1
h2170,1
h2171,1
h2172,1
h2173,1
h2174,1
h2175,1
h2176,1
h2177,1
h2178,1
h2179,1
h2180,1
h2181,1
h2182,1
h2183,1
h2184,1
h2185,1
h2186,1
h2187,1
h2188,1
h2189,1
h2190,1
h2191,1
h2192,1
h2193,1
h2194,1
h2195,1
h2196,1
h2197,1
h2198,1
h2199,1
h2200,1
h2201,1
h2202,1
h2203,1
h2204,1
h2205,1
h2206,1
h2207,1
h2208,1
h2209,1
h2210,1
h2211,1
h2212,1
h2213,1
h2214,1
h2215,1
h2216,1
h2217,1
h2218,1
h2219,1
h2220,1
h2221,1
h2222,1
h2223,1
h2224,1
h2225,1
h2226,1
h2227,1
h2228,1
h2229,1
h2230,1
h2231,1
h2232,1
h2233,1
h2234,1
h2235,1
h2236,1
h2237,1
h2238,1
h2239,1
h2240,1
h2241,1
h2242,1
h2243,1
h2244,1
h2245,1
h2246,1
h2247,1
h2248,1
h2249,1
h2250,1
h2251,1
h2252,1
h2253,1
h2254,1
h2255,1
h2256,1
h2257,1
h2258,1
h2259,1
h2260,1
h2261,1
h2262,1
h2263,1
h2264,1
h2265,1
h2266,1
h2267,1
h2268,1
h2269,1
h2270,1
h2271,1
h2272,1
h2273,1
h2274,1
h2275,1
h2276,1
h2277,1
h2278,1
h2279,1
h2280,1
h2281,1
h2282,1
h2283,1
h2284,1
h2285,1
h2286,1
h2287,1
h2288,1
h2289,1
h2290,1
h2291,1
h2292,1
h2293,1
h2294,1
h2295,1
h2296,1
h2297,1
h2298,1
h2299,1
h2300,1
h2301,1
h2302,1
h2303,1
h2304,1
h2305,1
h2306,1
h2307,1
h2308,1
h2309,1
h2310,1
h2311,1
h2312,1
h2313,1
h2314,1
h2315,1
h2316,1
h2317,1
h2318,1
h2319,1
h2320,1
h2321,1
h2322,1
h2323,1
h2324,1
h2325,1
h2326,1
h2327,1
h2328,1
h2329,1
h2330,1
h2331,1
h2332,1
h2333,1
h2334,1
h2335,1
h2336,1
h2337,1
h2338,1
h2339,1
h2340,1
h2341,1
h2342,1
h2343,1
h2344,1
h2345,1
h2346,1
h2347,1
h2348,1
h2349,1
h2350,1
h2351,1
h2352,1
h2353,1
h2354,1
h2355,1
h2356,1
h2357,1
h2358,1
h2359,1
h2360,1
h2361,1
h2362,1
h2363,1
h2364,1
h2365,1
h2366,1
h2367,1
h2368,1
h2369,1
h2370,1
h2371,1
h2372,1
h2373,1
h2374,1
h2375,1
h2376,1
h2377,1
h2378,1
h2379,1
h2380,1
h2381,1
h2382,1
h2383,1
h2384,1
h2385,1
h2386,1
h2387,1
h2388,1
h2389,1
h2390,1
h2391,1
h2392,1
h2393,1
h2394,1
h2395,1
h2396,1
h2397,1
h2398,1
h2399,1
h2400,1
h2401,1
h2402,1
h2403,1
h2404,1
h2405,1
h2406,1
h2407,1
h2408,1
h2409,1
h2410,1
h2411,1
h2412,1
h2413,1
h2414,1
h2415,1
h2416,1
h2417,1
h2418,1
h2419,1
h2420,1
h2421,1
h2422,1
h2423,1
h2424,1
h2425,1
h2426,1
h2427,1
h2428,1
h2429,1
h2430,1
h2431,1
h2432,1
h2433,1
h2434,1
h2435,1
h2436,1
h2437,1
h2438,1
h2439,1
h2440,1
h2441,1
h2442,1
h2443,1
h2444,1
h2445,1
h2446,1
h2447,1
h2448,1
h2449,1
h2450,1
h2451,1
h2452,1
h2453,1
h2454,1
h2455,1
h2456,1
h2457,1
h2458,1
h2459,1
h2460,1
h2461,1
h2462,1
h2463,1
h2464,1
h2465,1
h2466,1
h2467,1
h2468,1
h2469,1
h2470,1
h2471,1
h2472,1
h2473,1
h2474,1
h2475,1
h2476,1
h2477,1
h2478,1
h2479,1
h2480,1
h2481,1
h2482,1
h2483,1
h2484,1
h2485,1
h2486,1
h2487,1
h2488,1
h2489,1
h2490,1
h2491,1
h2492,1
h2493,1
h2494,1
h2495,1
h2496,1
h2497,1
